UID         PID   PPID  C STIME TTY          TIME CMD
root        183      2  0 09:49 ?        00:00:00 [scsi_eh_20]
root        184      2  0 09:49 ?        00:00:00 [scsi_tmf_20]
root        185      2  0 09:49 ?        00:00:00 [scsi_eh_21]
root        186      2  0 09:49 ?        00:00:00 [scsi_tmf_21]
root        187      2  0 09:49 ?        00:00:00 [scsi_eh_22]
root        188      2  0 09:49 ?        00:00:00 [scsi_tmf_22]
root        189      2  0 09:49 ?        00:00:00 [scsi_eh_23]
root        190      2  0 09:49 ?        00:00:00 [scsi_tmf_23]
root        191      2  0 09:49 ?        00:00:00 [scsi_eh_24]
root        192      2  0 09:49 ?        00:00:00 [scsi_tmf_24]
root        193      2  0 09:49 ?        00:00:00 [scsi_eh_25]
root        194      2  0 09:49 ?        00:00:00 [scsi_tmf_25]
root        195      2  0 09:49 ?        00:00:00 [scsi_eh_26]
root        196      2  0 09:49 ?        00:00:00 [scsi_tmf_26]
root        197      2  0 09:49 ?        00:00:00 [scsi_eh_27]
root        198      2  0 09:49 ?        00:00:00 [scsi_tmf_27]
root        199      2  0 09:49 ?        00:00:00 [scsi_eh_28]
root        200      2  0 09:49 ?        00:00:00 [scsi_tmf_28]
root        201      2  0 09:49 ?        00:00:00 [scsi_eh_29]
root        202      2  0 09:49 ?        00:00:00 [scsi_tmf_29]
root        203      2  0 09:49 ?        00:00:00 [scsi_eh_30]
root        204      2  0 09:49 ?        00:00:00 [scsi_tmf_30]
root        205      2  0 09:49 ?        00:00:00 [scsi_eh_31]
root        206      2  0 09:49 ?        00:00:00 [scsi_tmf_31]
root        234      2  0 09:49 ?        00:00:00 [scsi_eh_32]
root        235      2  0 09:49 ?        00:00:00 [scsi_tmf_32]
root        236      2  0 09:49 ?        00:00:00 [bioset]
root        238      2  0 09:49 ?        00:00:00 [ttm_swap]
root        255      2  0 09:49 ?        00:00:00 [bioset]
root        256      2  0 09:49 ?        00:00:00 [bioset]
root        260      2  0 09:49 ?        00:00:00 [kworker/0:1H]
root        284      2  0 09:49 ?        00:00:01 [jbd2/sda1-8]
root        285      2  0 09:49 ?        00:00:00 [ext4-rsv-conver]
root        310      1  0 09:49 ?        00:00:00 /lib/systemd/systemd-journald
root        335      2  0 09:49 ?        00:00:00 [kauditd]
root        353      1  0 09:49 ?        00:00:00 /lib/systemd/systemd-udevd
systemd+    453      1  0 09:49 ?        00:00:00 /lib/systemd/systemd-timesyncd
root        655      1  0 09:49 ?        00:00:00 /usr/sbin/ModemManager
root        662      1  0 09:49 ?        00:00:01 /usr/lib/accountsservice/accounts-daemon
avahi       666      1  0 09:49 ?        00:00:00 avahi-daemon: running [ubuntu.local]
avahi       679    666  0 09:49 ?        00:00:00 avahi-daemon: chroot helper
root        682      1  0 09:49 ?        00:00:00 /usr/sbin/cron -f
message+    686      1  0 09:49 ?        00:00:04 /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
root        694      1  0 09:49 ?        00:00:00 /usr/sbin/acpid
root        697      1  0 09:49 ?        00:00:01 /usr/sbin/NetworkManager --no-daemon
root        713      1  0 09:49 ?        00:00:00 /usr/sbin/cups-browsed
syslog      719      1  0 09:49 ?        00:00:00 /usr/sbin/rsyslogd -n
whoopsie    721      1  0 09:49 ?        00:00:00 /usr/bin/whoopsie -f
root        726      1  0 09:49 ?        00:00:00 /lib/systemd/systemd-logind
root        785      1  0 09:49 ?        00:00:02 /usr/lib/policykit-1/polkitd --no-debug
root        806      1  0 09:49 ?        00:00:00 /usr/sbin/lightdm
root        830    806  0 09:49 tty7     00:01:07 /usr/lib/xorg/Xorg -core :0 -seat seat0 -auth /var/run/lightdm/root/:0 -nolisten tcp vt7 -novtswitch
root        890      1  0 09:49 ?        00:00:00 /usr/lib/bluetooth/bluetoothd
nobody      970    697  0 09:49 ?        00:00:00 /usr/sbin/dnsmasq --no-resolv --keep-in-foreground --no-hosts --bind-interfaces --pid-file=/var/run/NetworkManager/dnsmasq.pid --listen-address=127.0.1.1 --cache-size=0 --proxy-dnssec --enable-dbus=org.freedesktop.NetworkManager.dnsmasq --conf-dir=/etc/NetworkManager/dnsmasq.d
rtkit      1144      1  0 09:49 ?        00:00:00 /usr/lib/rtkit/rtkit-daemon
root       1182      2  0 09:49 ?        00:00:00 [krfcommd]
root       1195      1  0 09:49 ?        00:00:00 /usr/lib/upower/upowerd
colord     1223      1  0 09:49 ?        00:00:00 /usr/lib/colord/colord
root       3813      1  0 09:50 tty1     00:00:00 /sbin/agetty --noclear tty1 linux
root       3959    806  0 09:56 ?        00:00:00 lightdm --session-child 12 19
shim84     3968      1  0 09:56 ?        00:00:00 /lib/systemd/systemd --user
shim84     3969   3968  0 09:56 ?        00:00:00 (sd-pam)
shim84     4022      1  0 09:56 ?        00:00:00 /usr/bin/gnome-keyring-daemon --daemonize --login
shim84     4028   3959  0 09:56 ?        00:00:00 /sbin/upstart --user
shim84     4118   4028  0 09:56 ?        00:00:00 upstart-udev-bridge --daemon --user
shim84     4125   4028  0 09:56 ?        00:00:02 dbus-daemon --fork --session --address=unix:abstract=/tmp/dbus-ppuVoMkP8e
shim84     4138   4028  0 09:56 ?        00:00:00 /usr/lib/x86_64-linux-gnu/hud/window-stack-bridge
shim84     4174   4028  0 09:56 ?        00:00:01 /usr/lib/x86_64-linux-gnu/bamf/bamfdaemon
shim84     4184   4028  0 09:56 ?        00:00:00 upstart-dbus-bridge --daemon --session --user --bus-name session
shim84     4186   4028  0 09:56 ?        00:00:00 upstart-dbus-bridge --daemon --system --user --bus-name system
shim84     4188   4028  0 09:56 ?        00:00:00 upstart-file-bridge --daemon --user
shim84     4192   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfsd
shim84     4197   4028  0 09:56 ?        00:00:04 /usr/bin/ibus-daemon --daemonize --xim
shim84     4200   4028  0 09:56 ?        00:00:00 /usr/lib/gvfs/gvfsd-fuse /run/user/1000/gvfs -f -o big_writes
shim84     4213   4028  0 09:56 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
shim84     4223   4213  0 09:56 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
shim84     4231   4028  0 09:56 ?        00:00:00 /usr/lib/dconf/dconf-service
shim84     4232   4028  0 09:56 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
shim84     4250   4197  0 09:56 ?        00:00:00 /usr/lib/ibus/ibus-dconf
shim84     4251   4197  0 09:56 ?        00:00:01 /usr/lib/ibus/ibus-ui-gtk3
shim84     4255   4028  0 09:56 ?        00:00:00 /usr/lib/ibus/ibus-x11 --kill-daemon
shim84     4281   4197  0 09:56 ?        00:00:01 /usr/lib/ibus/ibus-engine-simple
shim84     4319   4028  0 09:56 ?        00:00:01 /usr/lib/x86_64-linux-gnu/hud/hud-service
